CustomizationID,ProfileID,Invoice ID,UUID,IssueDate,InvoiceTypeCode,Invoice currency code,Seller electronic address,Seller address scheme ID,Seller TAX ID,Tax Scheme ID,Seller name,Seller legal registration ID,Seller trading name,Seller address line 1,Seller post code,Seller country code,Buyer electronic address,Buyer address scheme ID,Buyer identifier,Buyer trading name,Buyer address line 1,Buyer post code,Buyer country code,Buyer name,Buyer legal registration ID,Invoice total TAX amount,TAX category taxable amount,TAX category tax amount,TAX category code,TAX category rate,LineExtensionAmount,TaxExclusiveAmount,TaxInclusiveAmount,PayableAmount,Invoice line identifier,Invoiced quantity,Invoiced quantity unit of measure,Invoice line net amount,Item name,Invoiced item TAX category code,Invoiced item TAX rate,Tax Scheme,Item net price
SGPeppol,invoice,INV-20250510002,79ea5bd9-f334-4e2b-a017-3b506dc50a0f,2025/5/10,380,SGD,SGUEN202012345M,0195,M123456789D,GST,ABC Pte Ltd,202012345M,ABC Electronics,10 Main St,123456,SG,SGUEN202244433M,0195,5060222233333,DEF Enterprise,50 Hill St,543210,SG,DEF Enterprise Ltd,202043211M,135.3,1503.3,135.3,SR,9,1503.3,1503.3,1638.6,1638.6,1,6,EA,1503.3,Item-1,SR,9,GST,250.55
SGPeppol,invoice,INV-20250510003,1a5258c9-7522-4aa6-a4d8-82b8252c088b,2025/5/10,380,SGD,SGUEN202012345M,0195,M123456789D,GST,ABC Pte Ltd,202012345M,ABC Electronics,10 Main St,123456,SG,SGUEN202255577M,0195,5060111122222,Sunshine Co,21 Beach Rd,123987,SG,Sunshine Co Ltd,202077788M,128.76,1430.64,128.76,SR,9,1430.64,1430.64,1559.4,1559.4,1,6,EA,1430.64,Item-2,SR,9,GST,238.44
SGPeppol,invoice,INV-20250512001,454d2b0c-96b5-445f-85ff-631d6b15aacd,2025/5/12,380,SGD,SGUEN202012345M,0195,M123456789D,GST,ABC Pte Ltd,202012345M,ABC Electronics,10 Main St,123456,SG,SGUEN202255577M,0195,5060111122222,Sunshine Co,21 Beach Rd,123987,SG,Sunshine Co Ltd,202077788M,90.28,1003.1,90.28,SR,9,1003.1,1003.1,1093.38,1093.38,1,10,EA,1003.1,Item-3,SR,9,GST,100.31
SGPeppol,invoice,INV-20250512002,e93d114a-0116-41fc-a467-28e5dd9cd5e3,2025/5/12,380,SGD,SGUEN202012345M,0195,M123456789D,GST,ABC Pte Ltd,202012345M,ABC Electronics,10 Main St,123456,SG,SGUEN202244433M,0195,5060222233333,DEF Enterprise,50 Hill St,543210,SG,DEF Enterprise Ltd,202043211M,25.61,284.61,25.61,SR,9,284.61,284.61,310.22,310.22,1,1,EA,284.61,Item-4,SR,9,GST,284.61
SGPeppol,invoice,INV-20250515001,9583980a-92e5-4a49-a846-05cdda8d0be8,2025/5/15,380,SGD,SGUEN202012345M,0195,M123456789D,GST,ABC Pte Ltd,202012345M,ABC Electronics,10 Main St,123456,SG,SGUEN202255577M,0195,5060111122222,Sunshine Co,21 Beach Rd,123987,SG,Sunshine Co Ltd,202077788M,6.19,68.74,6.19,SR,9,68.74,68.74,74.93,74.93,1,1,EA,68.74,Item-5,SR,9,GST,68.74
SGPeppol,invoice,INV-20250515002,b6031241-b286-4054-a44b-34ca65a6811b,2025/5/15,380,SGD,SGUEN202012345M,0195,M123456789D,GST,ABC Pte Ltd,202012345M,ABC Electronics,10 Main St,123456,SG,SGUEN202255577M,0195,5060111122222,Sunshine Co,21 Beach Rd,123987,SG,Sunshine Co Ltd,202077788M,254.17,2824.1,254.17,SR,9,2824.1,2824.1,3078.27,3078.27,1,10,EA,2824.1,Item-6,SR,9,GST,282.41
SGPeppol,invoice,INV-20250515003,d6c6e1e7-728a-4212-9b6a-c1daadaeb842,2025/5/15,380,SGD,SGUEN202012345M,0195,M123456789D,GST,ABC Pte Ltd,202012345M,ABC Electronics,10 Main St,123456,SG,SGUEN202234567M,0195,5060123456789,XYZ Retail,100 Market St,654321,SG,XYZ Retail Ltd,202098765M,11.41,126.78,11.41,SR,9,126.78,126.78,138.19,138.19,1,2,EA,126.78,Item-7,SR,9,GST,63.39
SGPeppol,invoice,INV-20250518001,93f9fec0-6163-49f6-9c51-c4becc58a894,2025/5/18,380,SGD,SGUEN202012345M,0195,M123456789D,GST,ABC Pte Ltd,202012345M,ABC Electronics,10 Main St,123456,SG,SGUEN202234567M,0195,5060123456789,XYZ Retail,100 Market St,654321,SG,XYZ Retail Ltd,202098765M,13.68,152.04,13.68,SR,9,152.04,152.04,165.72,165.72,1,3,EA,152.04,Item-8,SR,9,GST,50.68
SGPeppol,invoice,INV-20250520001,facbe06f-8625-48a2-b3b5-c7fd431db9c0,2025/5/20,380,SGD,SGUEN202012345M,0195,M123456789D,GST,ABC Pte Ltd,202012345M,ABC Electronics,10 Main St,123456,SG,SGUEN202255577M,0195,5060111122222,Sunshine Co,21 Beach Rd,123987,SG,Sunshine Co Ltd,202077788M,115.94,1288.26,115.94,SR,9,1288.26,1288.26,1404.2,1404.2,1,6,EA,1288.26,Item-9,SR,9,GST,214.71
SGPeppol,invoice,INV-20250520002,c6f34f2e-105b-4474-a794-cbcd536155b9,2025/5/20,380,SGD,SGUEN202012345M,0195,M123456789D,GST,ABC Pte Ltd,202012345M,ABC Electronics,10 Main St,123456,SG,SGUEN202234567M,0195,5060123456789,XYZ Retail,100 Market St,654321,SG,XYZ Retail Ltd,202098765M,103.87,1154.16,103.87,SR,9,1154.16,1154.16,1258.03,1258.03,1,4,EA,1154.16,Item-10,SR,9,GST,288.54
SGPeppol,invoice,INV-20250522001,c5ab1434-a2d3-46e9-a0ce-c4063d1f4d3e,2025/5/22,380,SGD,SGUEN202012345M,0195,M123456789D,GST,ABC Pte Ltd,202012345M,ABC Electronics,10 Main St,123456,SG,SGUEN202244433M,0195,5060222233333,DEF Enterprise,50 Hill St,543210,SG,DEF Enterprise Ltd,202043211M,212.3,2358.9,212.3,SR,9,2358.9,2358.9,2571.2,2571.2,1,10,EA,2358.9,Item-11,SR,9,GST,235.89
SGPeppol,invoice,INV-20250522002,d411f85d-02b4-4a42-b81a-84c2441ffc67,2025/5/22,380,SGD,SGUEN202012345M,0195,M123456789D,GST,ABC Pte Ltd,202012345M,ABC Electronics,10 Main St,123456,SG,SGUEN202244433M,0195,5060222233333,DEF Enterprise,50 Hill St,543210,SG,DEF Enterprise Ltd,202043211M,114.46,1271.76,114.46,SR,9,1271.76,1271.76,1386.22,1386.22,1,8,EA,1271.76,Item-12,SR,9,GST,158.97
SGPeppol,invoice,INV-20250522003,2e2aba20-816c-477d-900f-ff6ca2da6c33,2025/5/22,380,SGD,SGUEN202012345M,0195,M123456789D,GST,ABC Pte Ltd,202012345M,ABC Electronics,10 Main St,123456,SG,SGUEN202234567M,0195,5060123456789,XYZ Retail,100 Market St,654321,SG,XYZ Retail Ltd,202098765M,53.35,592.83,53.35,SR,9,592.83,592.83,646.18,646.18,1,3,EA,592.83,Item-13,SR,9,GST,197.61
SGPeppol,invoice,INV-20250524001,31af867f-cd29-4f10-8688-e3221d3e7141,2025/5/24,380,SGD,SGUEN202012345M,0195,M123456789D,GST,ABC Pte Ltd,202012345M,ABC Electronics,10 Main St,123456,SG,SGUEN202255577M,0195,5060111122222,Sunshine Co,21 Beach Rd,123987,SG,Sunshine Co Ltd,202077788M,24.84,275.97,24.84,SR,9,275.97,275.97,300.81,300.81,1,3,EA,275.97,Item-14,SR,9,GST,91.99
SGPeppol,invoice,INV-20250527001,8782e6fa-b367-4915-a329-c7bb66198393,2025/5/27,380,SGD,SGUEN202012345M,0195,M123456789D,GST,ABC Pte Ltd,202012345M,ABC Electronics,10 Main St,123456,SG,SGUEN202234567M,0195,5060123456789,XYZ Retail,100 Market St,654321,SG,XYZ Retail Ltd,202098765M,63.26,702.9,63.26,SR,9,702.9,702.9,766.16,766.16,1,9,EA,702.9,Item-15,SR,9,GST,78.1
SGPeppol,invoice,INV-20250527002,a2e7869c-746c-4b83-90c9-4763fb4d9968,2025/5/27,380,SGD,SGUEN202012345M,0195,M123456789D,GST,ABC Pte Ltd,202012345M,ABC Electronics,10 Main St,123456,SG,SGUEN202244433M,0195,5060222233333,DEF Enterprise,50 Hill St,543210,SG,DEF Enterprise Ltd,202043211M,106.76,1186.2,106.76,SR,9,1186.2,1186.2,1292.96,1292.96,1,9,EA,1186.2,Item-16,SR,9,GST,131.8
SGPeppol,invoice,INV-20250529001,8f0da12d-6ff8-4378-8c78-651020766013,2025/5/29,380,SGD,SGUEN202012345M,0195,M123456789D,GST,ABC Pte Ltd,202012345M,ABC Electronics,10 Main St,123456,SG,SGUEN202255577M,0195,5060111122222,Sunshine Co,21 Beach Rd,123987,SG,Sunshine Co Ltd,202077788M,33.85,376.08,33.85,SR,9,376.08,376.08,409.93,409.93,1,3,EA,376.08,Item-17,SR,9,GST,125.36
SGPeppol,invoice,INV-20250529002,238cfc5f-7631-4b97-a5ef-3a47561b692d,2025/5/29,380,SGD,SGUEN202012345M,0195,M123456789D,GST,ABC Pte Ltd,202012345M,ABC Electronics,10 Main St,123456,SG,SGUEN202244433M,0195,5060222233333,DEF Enterprise,50 Hill St,543210,SG,DEF Enterprise Ltd,202043211M,86.31,959,86.31,SR,9,959,959,1045.31,1045.31,1,4,EA,959,Item-18,SR,9,GST,239.75
SGPeppol,invoice,INV-20250530001,f1bc3ed2-d8b6-4b65-a020-fc608270d995,2025/5/30,380,SGD,SGUEN202012345M,0195,M123456789D,GST,ABC Pte Ltd,202012345M,ABC Electronics,10 Main St,123456,SG,SGUEN202234567M,0195,5060123456789,XYZ Retail,100 Market St,654321,SG,XYZ Retail Ltd,202098765M,6.23,69.21,6.23,SR,9,69.21,69.21,75.44,75.44,1,1,EA,69.21,Item-19,SR,9,GST,69.21
SGPeppol,invoice,INV-20250530002,6cc235c1-8bdc-4b13-ad7b-459c2af071f8,2025/5/30,380,SGD,SGUEN202012345M,0195,M123456789D,GST,ABC Pte Ltd,202012345M,ABC Electronics,10 Main St,123456,SG,SGUEN202244433M,0195,5060222233333,DEF Enterprise,50 Hill St,543210,SG,DEF Enterprise Ltd,202043211M,20.78,230.85,20.78,SR,9,230.85,230.85,251.63,251.63,1,3,EA,230.85,Item-20,SR,9,GST,76.95
